dim_0,amplitude_beam1,amplitude_beam2,amplitude_beam3,analog1,battery_voltage_dV,date_time_string,driver_timestamp,error_code,heading_decidegree,internal_timestamp,pitch_decidegree,pkt_format_id,pkt_version,preferred_timestamp,pressure_mbar,quality_flag,roll_decidegree,sound_speed_dms,status,stream_name,temperature_centidegree,velocity_beam1,velocity_beam2,velocity_beam3
25,81,81,86,0,116,2017/04/28 07:03:32,3722364942.5,0,1660,3702351812.0,-69,JSON_Data,1,internal_timestamp,13985,ok,-72,14812,17,velpt_ab_dcl_diagnostics,768,701,678,-210
26,84,81,83,0,116,2017/04/28 07:03:33,3722364942.5,0,1937,3702351813.0,-58,JSON_Data,1,internal_timestamp,13656,ok,-9,14812,17,velpt_ab_dcl_diagnostics,768,674,-424,-118
27,79,84,80,0,116,2017/04/28 07:03:34,3722364942.5,0,2002,3702351814.0,2,JSON_Data,1,internal_timestamp,13427,ok,11,14812,17,velpt_ab_dcl_diagnostics,768,433,-108,-330
28,81,82,85,0,116,2017/04/28 07:03:35,3722364942.5,0,2037,3702351815.0,1,JSON_Data,1,internal_timestamp,13031,ok,-20,14812,17,velpt_ab_dcl_diagnostics,768,-272,85,-264
29,87,81,80,0,116,2017/04/28 07:03:36,3722364942.5,0,2006,3702351816.0,-2,JSON_Data,1,internal_timestamp,12529,ok,-64,14812,17,velpt_ab_dcl_diagnostics,768,-115,-259,-275
30,83,82,83,0,116,2017/04/28 07:03:37,3722364942.5,0,2091,3702351817.0,34,JSON_Data,1,internal_timestamp,12244,ok,-56,14812,17,velpt_ab_dcl_diagnostics,768,-82,165,276
31,81,80,85,0,116,2017/04/28 07:03:38,3722364942.5,0,2145,3702351818.0,25,JSON_Data,1,internal_timestamp,12666,ok,-97,14812,17,velpt_ab_dcl_diagnostics,768,62,541,778
32,80,80,82,0,116,2017/04/28 07:03:39,3722364942.5,0,2121,3702351819.0,15,JSON_Data,1,internal_timestamp,13615,ok,-101,14812,17,velpt_ab_dcl_diagnostics,768,504,204,657
33,82,84,83,0,116,2017/04/28 07:03:40,3722364942.5,0,2251,3702351820.0,15,JSON_Data,1,internal_timestamp,14060,ok,-59,14812,17,velpt_ab_dcl_diagnostics,768,766,-482,-641
34,89,86,82,0,116,2017/04/28 07:03:41,3722364942.5,0,2489,3702351821.0,40,JSON_Data,1,internal_timestamp,13396,ok,20,14812,17,velpt_ab_dcl_diagnostics,768,182,-171,-127
35,78,82,82,0,116,2017/04/28 07:03:42,3722364942.5,0,2451,3702351822.0,49,JSON_Data,1,internal_timestamp,13120,ok,-6,14812,17,velpt_ab_dcl_diagnostics,768,94,829,169
36,81,87,80,0,116,2017/04/28 07:03:43,3722364942.5,0,2265,3702351823.0,19,JSON_Data,1,internal_timestamp,13056,ok,-95,14812,17,velpt_ab_dcl_diagnostics,768,221,493,-263
37,83,74,82,0,116,2017/04/28 07:03:44,3722364942.5,0,2585,3702351824.0,9,JSON_Data,1,internal_timestamp,12804,ok,-76,14812,17,velpt_ab_dcl_diagnostics,768,1,-294,-38
38,84,82,80,0,116,2017/04/28 07:03:45,3722364942.5,0,2556,3702351825.0,54,JSON_Data,1,internal_timestamp,12891,ok,-35,14812,17,velpt_ab_dcl_diagnostics,768,5,-176,338
39,80,82,82,0,116,2017/04/28 07:03:46,3722364942.5,0,2454,3702351826.0,59,JSON_Data,1,internal_timestamp,13375,ok,-39,14812,17,velpt_ab_dcl_diagnostics,768,561,323,219
40,78,84,84,0,116,2017/04/28 07:03:47,3722364942.5,0,2554,3702351827.0,14,JSON_Data,1,internal_timestamp,13596,ok,-68,14812,17,velpt_ab_dcl_diagnostics,768,696,-299,-379
41,78,80,82,0,116,2017/04/28 07:03:48,3722364942.5,0,2752,3702351828.0,-1,JSON_Data,1,internal_timestamp,13266,ok,-10,14812,17,velpt_ab_dcl_diagnostics,768,25,-631,74
42,80,80,82,0,116,2017/04/28 07:03:49,3722364942.5,0,2712,3702351829.0,40,JSON_Data,1,internal_timestamp,13377,ok,21,14812,17,velpt_ab_dcl_diagnostics,768,334,-198,-355
43,85,85,88,0,116,2017/04/28 07:03:50,3722364942.5,0,2661,3702351830.0,20,JSON_Data,1,internal_timestamp,12730,ok,4,14812,17,velpt_ab_dcl_diagnostics,768,283,448,-500
44,77,83,82,0,116,2017/04/28 07:03:51,3722364942.5,0,2663,3702351831.0,23,JSON_Data,1,internal_timestamp,12180,ok,-41,14812,17,velpt_ab_dcl_diagnostics,768,-103,544,518
45,84,79,76,0,116,2017/04/28 07:03:52,3722364942.5,0,2550,3702351832.0,54,JSON_Data,1,internal_timestamp,12600,ok,-83,14812,17,velpt_ab_dcl_diagnostics,768,-463,540,765
46,76,84,77,0,116,2017/04/28 07:03:53,3722364942.5,0,2487,3702351833.0,70,JSON_Data,1,internal_timestamp,13246,ok,-106,14812,17,velpt_ab_dcl_diagnostics,768,-91,-223,602
47,80,75,73,0,116,2017/04/28 07:03:54,3722364942.5,0,2458,3702351834.0,79,JSON_Data,1,internal_timestamp,13989,ok,-54,14812,17,velpt_ab_dcl_diagnostics,768,500,-712,358
48,76,77,75,0,116,2017/04/28 07:03:55,3722364942.5,0,2464,3702351835.0,67,JSON_Data,1,internal_timestamp,14190,ok,10,14812,17,velpt_ab_dcl_diagnostics,768,750,75,-995
49,77,77,80,0,116,2017/04/28 07:03:56,3722364942.5,0,2442,3702351836.0,-22,JSON_Data,1,internal_timestamp,13060,ok,-28,14812,17,velpt_ab_dcl_diagnostics,768,751,278,-420
50,81,79,67,0,116,2017/04/28 07:03:57,3722364942.5,0,2582,3702351837.0,-21,JSON_Data,1,internal_timestamp,12954,ok,-31,14812,17,velpt_ab_dcl_diagnostics,768,171,-280,298
51,77,88,74,0,116,2017/04/28 07:03:58,3722364942.5,0,2565,3702351838.0,16,JSON_Data,1,internal_timestamp,13105,ok,-30,14812,17,velpt_ab_dcl_diagnostics,768,-368,-460,-481
52,78,78,72,0,116,2017/04/28 07:03:59,3722364942.5,0,2488,3702351839.0,59,JSON_Data,1,internal_timestamp,12640,ok,-19,14812,17,velpt_ab_dcl_diagnostics,768,-286,-204,517
53,80,74,76,0,116,2017/04/28 07:04:00,3722364942.5,0,2427,3702351840.0,58,JSON_Data,1,internal_timestamp,13275,ok,-30,14812,17,velpt_ab_dcl_diagnostics,768,-187,-96,777
54,71,79,81,0,116,2017/04/28 07:04:01,3722364942.5,0,2263,3702351841.0,61,JSON_Data,1,internal_timestamp,13646,ok,-39,14812,17,velpt_ab_dcl_diagnostics,768,245,64,-863
55,76,77,76,0,116,2017/04/28 07:04:02,3722364942.5,0,2289,3702351842.0,4,JSON_Data,1,internal_timestamp,12554,ok,-25,14812,17,velpt_ab_dcl_diagnostics,768,204,261,-428
56,77,85,75,0,116,2017/04/28 07:04:03,3722364942.5,0,2370,3702351843.0,19,JSON_Data,1,internal_timestamp,12231,ok,-67,14812,17,velpt_ab_dcl_diagnostics,768,-216,133,939
57,79,78,79,0,116,2017/04/28 07:04:04,3722364942.5,0,2187,3702351844.0,22,JSON_Data,1,internal_timestamp,13227,ok,-80,14812,17,velpt_ab_dcl_diagnostics,768,-548,-353,402
58,77,83,78,0,116,2017/04/28 07:04:05,3722364942.5,0,2040,3702351845.0,72,JSON_Data,1,internal_timestamp,13462,ok,-93,14812,17,velpt_ab_dcl_diagnostics,768,333,-300,-471
59,76,82,82,0,116,2017/04/28 07:04:06,3722364942.5,0,2151,3702351846.0,35,JSON_Data,1,internal_timestamp,13019,ok,-34,14812,17,velpt_ab_dcl_diagnostics,768,239,-339,-65
60,80,76,73,0,116,2017/04/28 07:04:07,3722364942.5,0,2224,3702351847.0,51,JSON_Data,1,internal_timestamp,12976,ok,-49,14812,17,velpt_ab_dcl_diagnostics,768,-180,70,395
61,70,77,75,0,116,2017/04/28 07:04:08,3722364942.5,0,2039,3702351848.0,40,JSON_Data,1,internal_timestamp,13519,ok,-86,14812,17,velpt_ab_dcl_diagnostics,768,356,529,187
62,76,76,74,0,116,2017/04/28 07:04:09,3722364942.5,0,2030,3702351849.0,-19,JSON_Data,1,internal_timestamp,13903,ok,-67,14812,17,velpt_ab_dcl_diagnostics,768,894,403,-174
63,77,79,77,0,116,2017/04/28 07:04:10,3722364942.5,0,2239,3702351850.0,-40,JSON_Data,1,internal_timestamp,13709,ok,-33,14812,17,velpt_ab_dcl_diagnostics,768,413,-374,-396
64,80,78,74,0,116,2017/04/28 07:04:11,3722364942.5,0,2264,3702351851.0,12,JSON_Data,1,internal_timestamp,13308,ok,-1,14812,17,velpt_ab_dcl_diagnostics,768,124,-109,351
65,77,78,78,0,116,2017/04/28 07:04:12,3722364942.5,0,2220,3702351852.0,3,JSON_Data,1,internal_timestamp,13455,ok,-27,14812,17,velpt_ab_dcl_diagnostics,768,134,-258,-410
66,74,81,76,0,116,2017/04/28 07:04:13,3722364942.5,0,2206,3702351853.0,23,JSON_Data,1,internal_timestamp,12790,ok,-19,14812,17,velpt_ab_dcl_diagnostics,768,-39,-238,-751
67,74,84,80,0,116,2017/04/28 07:04:14,3722364942.5,0,2230,3702351854.0,30,JSON_Data,1,internal_timestamp,12053,ok,-29,14812,17,velpt_ab_dcl_diagnostics,768,-274,106,572
68,77,78,76,0,116,2017/04/28 07:04:15,3722364942.5,0,2249,3702351855.0,34,JSON_Data,1,internal_timestamp,12609,ok,-73,14812,17,velpt_ab_dcl_diagnostics,768,-478,235,520
69,79,77,73,0,116,2017/04/28 07:04:16,3722364942.5,0,2124,3702351856.0,57,JSON_Data,1,internal_timestamp,12865,ok,-106,14812,17,velpt_ab_dcl_diagnostics,768,-445,-125,-875
70,76,71,78,0,116,2017/04/28 07:04:17,3722364942.5,0,2043,3702351857.0,50,JSON_Data,1,internal_timestamp,12137,ok,-103,14812,17,velpt_ab_dcl_diagnostics,768,186,79,264
