ingest_csv_filename,platform,deployment#,uframe_route,filename_mask,number_files,file of today,file <= 1k,file > 1K,reference_designator,data_source,Automated_status,status,notes
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,#Ingest.pco2w-abc_recovered,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl16/PCO2W*/*.txt,0,0,0,0,GI01SUMO-RID16-05-PCO2WB000,recovered_inst,Missing,no inst data available,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,Ingest.pco2w-abc-dcl_recovered,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl16/PCO2W*/*.pco2w.log,233,0,9,224,GI01SUMO-RID16-05-PCO2WB000,recovered_host,Available,,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,Ingest.dosta-abcdjm-ctdbp-dcl_recovered,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl16/CTDBP*/*ctdbp.log,73,0,16,57,GI01SUMO-RID16-06-DOSTAD000,recovered_host,Available,,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,#Ingest.nutnr-b_recovered,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl16/NUTNR*/*.DAT,0,0,0,0,GI01SUMO-RID16-07-NUTNRB000,recovered_inst,Missing,no inst data available,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,Ingest.nutnr-b-dcl-conc_recovered,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl16/NUTNR*/*.nutnr2.log,223,0,1,222,GI01SUMO-RID16-07-NUTNRB000,recovered_host,Available,,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,Ingest.spkir-abj-dcl_recovered,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl16/SPKIR*/*.spkir2.log,222,0,2,220,GI01SUMO-RID16-08-SPKIRB000,recovered_host,Available,,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,Ingest.adcps-jln_recovered,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/ADCP_sn21717/*018.000,1,0,0,1,GI01SUMO-RII11-02-ADCPSN010,recovered_inst,Available,,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,Ingest.adcps-jln-stc_recovered,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/ADCP_sn21717/adcp_*.DAT,4575,0,4338,237,GI01SUMO-RII11-02-ADCPSN010,recovered_host,Available,,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,Ingest.phsen-abcdef-imodem_recovered,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/PHSEN_snP0071/*.DAT,3020,0,3011,9,GI01SUMO-RII11-02-PHSENE041,recovered_host,Available,,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,#,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,GI01SUMO-RII11-02-PHSENE041,recovered_inst,,no inst data available - instrument came apart during deployment,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,GI01SUMO-RII11-02-CTDBPP031,recovered_inst,,Not deployed,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,#,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,GI01SUMO-RII11-02-CTDBPP031,recovered_host,,Not deployed,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,#,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,GI01SUMO-RII11-02-DOSTAD031,recovered_host,,Not deployed,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,#,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,GI01SUMO-RII11-02-FLORDG031,recovered_host,,Not deployed,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,#Ingest.pco2w-abc-imodem_recovered,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,GI01SUMO-RII11-02-PCO2WC051,recovered_host,,Not deployed,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,#Ingest.pco2w-abc_recovered,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,GI01SUMO-RII11-02-PCO2WC051,recovered_inst,,Not deployed,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,#,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,GI01SUMO-RII11-02-CTDBPP032,recovered_inst,,Not deployed,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,#,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,GI01SUMO-RII11-02-CTDBPP032,recovered_host,,Not deployed,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,#,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,GI01SUMO-RII11-02-DOSTAD032,recovered_host,,Not deployed,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,#,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,GI01SUMO-RII11-02-FLORDG032,recovered_host,,Not deployed,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,#Ingest.pco2w-abc-imodem_recovered,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,GI01SUMO-RII11-02-PCO2WC052,recovered_host,,Not deployed,NaN
