ingest_csv_filename,platform,deployment#,uframe_route,filename_mask,number_files,file of today,file <= 1k,file > 1K,reference_designator,data_source,Automated_status,status,notes
GS01SUMO_R00001_ingest.csv,GS01SUMO,001,Ingest.mopak-o-dcl_recovered,/omc_data/whoi/OMC/GS01SUMO/R00001/cg_data/dcl11/MOPAK*/*.mopak.log,4253,0,19,4234,GS01SUMO-SBD11-01-MOPAK0000,recovered_host,Available,,NaN
GS01SUMO_R00001_ingest.csv,GS01SUMO,001,Ingest.metbk-a-dcl_recovered,/omc_data/whoi/OMC/GS01SUMO/R00001/cg_data/dcl11/METBK-Log_snLGR018/*.metbk*.log,190,0,1,189,GS01SUMO-SBD11-06-METBKA000,recovered_host,Available,,NaN
GS01SUMO_R00001_ingest.csv,GS01SUMO,001,Ingest.dosta-abcdjm-dcl_recovered,/omc_data/whoi/OMC/GS01SUMO/R00001/cg_data/dcl11/DOSTA_sn379/*.dosta1.log,33,0,0,33,GS01SUMO-SBD11-04-DOSTAD000,recovered_host,Available,,NaN
GS01SUMO_R00001_ingest.csv,GS01SUMO,001,Ingest.spkir-abj-dcl_recovered,/omc_data/whoi/OMC/GS01SUMO/R00001/cg_data/dcl11/SPKIR_sn269/*.spkir1.log,39,0,1,38,GS01SUMO-SBD11-05-SPKIRB000,recovered_host,Available,,NaN
GS01SUMO_R00001_ingest.csv,GS01SUMO,001,Ingest.nutnr-b-dcl-full_recovered,/omc_data/whoi/OMC/GS01SUMO/R00001/cg_data/dcl11/NUTNR*/*.nutnr1.log,189,0,6,183,GS01SUMO-SBD11-08-NUTNRB000,recovered_host,Available,,NaN
GS01SUMO_R00001_ingest.csv,GS01SUMO,001,Ingest.nutnr-b_recovered,/omc_data/whoi/OMC/GS01SUMO/R00001/cg_data/dcl11/NUTNR*/*.DAT,339,0,0,339,GS01SUMO-SBD11-08-NUTNRB000,recovered_inst,Available,,NaN
GS01SUMO_R00001_ingest.csv,GS01SUMO,001,#Ingest.hyd-o-dcl_recovered,/omc_data/whoi/OMC/GS01SUMO/R00001/cg_data/dcl11/hyd*/*hyd*.log,0,0,0,0,GS01SUMO-SBD11-03-HYDGN0000,recovered_host,Missing,Data not available,NaN
GS01SUMO_R00001_ingest.csv,GS01SUMO,001,Ingest.metbk-a-dcl_recovered,/omc_data/whoi/OMC/GS01SUMO/R00001/cg_data/dcl12/METBK-Log_snLGR017/*.metbk*.log,298,0,0,298,GS01SUMO-SBD12-06-METBKA000,recovered_host,Available,,NaN
GS01SUMO_R00001_ingest.csv,GS01SUMO,001,Ingest.pco2a-a-dcl_recovered,/omc_data/whoi/OMC/GS01SUMO/R00001/cg_data/dcl12/PCO2A*/*.pco2a.log,270,0,14,256,GS01SUMO-SBD12-04-PCO2AA000,recovered_host,Available,,NaN
GS01SUMO_R00001_ingest.csv,GS01SUMO,001,Ingest.wavss-a-dcl-full_recovered,/omc_data/whoi/OMC/GS01SUMO/R00001/cg_data/dcl12/WAVSS*/*.wavss.log,298,0,2,296,GS01SUMO-SBD12-05-WAVSSA000,recovered_host,Available,,NaN
GS01SUMO_R00001_ingest.csv,GS01SUMO,001,Ingest.optaa-dj-dcl_recovered,/omc_data/whoi/OMC/GS01SUMO/R00001/cg_data/dcl12/OPTAA*/*.optaa*.log,6663,0,43,6620,GS01SUMO-SBD12-01-OPTAAD000,recovered_host,Available,,NaN
GS01SUMO_R00001_ingest.csv,GS01SUMO,001,Ingest.fdchp-a-dcl_recovered,/omc_data/whoi/OMC/GS01SUMO/R00001/cg_data/dcl12/FDCHP*/*.fdchp.log,289,0,9,280,GS01SUMO-SBD12-08-FDCHPA000,recovered_host,Available,,NaN
GS01SUMO_R00001_ingest.csv,GS01SUMO,001,#Ingest.fdchp-a_recovered,/omc_data/whoi/OMC/GS01SUMO/R00001/cg_data/dcl12/FDCHP*/fdchp*.dat,0,0,0,0,GS01SUMO-SBD12-08-FDCHPA000,recovered_inst,Missing,Data not expected,NaN
GS01SUMO_R00001_ingest.csv,GS01SUMO,001,Ingest.flort-dj-dcl_recovered,/omc_data/whoi/OMC/GS01SUMO/R00001/cg_data/dcl12/FLORT*/*.flort1.log,296,0,5,291,GS01SUMO-SBD12-02-FLORTD000,recovered_host,Available,,NaN
GS01SUMO_R00001_ingest.csv,GS01SUMO,001,#Ingest.hyd-o-dcl_recovered,/omc_data/whoi/OMC/GS01SUMO/R00001/cg_data/dcl12/hyd*/*hyd*.log,0,0,0,0,GS01SUMO-SBD12-03-HYDGN0000,recovered_host,Missing,Data not available,NaN
GS01SUMO_R00001_ingest.csv,GS01SUMO,001,Ingest.optaa-dj-dcl_recovered,/omc_data/whoi/OMC/GS01SUMO/R00001/cg_data/dcl16/OPTAA*/*.optaa*.log,3305,0,43,3262,GS01SUMO-RID16-01-OPTAAD000,recovered_host,Available,,NaN
GS01SUMO_R00001_ingest.csv,GS01SUMO,001,Ingest.flort-dj-dcl_recovered,/omc_data/whoi/OMC/GS01SUMO/R00001/cg_data/dcl16/FLORT*/*.flort2.log,155,0,3,152,GS01SUMO-RID16-02-FLORTD000,recovered_host,Available,,NaN
GS01SUMO_R00001_ingest.csv,GS01SUMO,001,Ingest.ctdbp-cdef-dcl_recovered,/omc_data/whoi/OMC/GS01SUMO/R00001/cg_data/dcl16/CTDBP*/*ctdbp.log,132,0,7,125,GS01SUMO-RID16-03-CTDBPF000,recovered_host,Available,,NaN
GS01SUMO_R00001_ingest.csv,GS01SUMO,001,Ingest.ctdbp-cdef_recovered,/omc_data/whoi/OMC/GS01SUMO/R00001/cg_data/dcl16/CTDBP*/*.hex,1,0,0,1,GS01SUMO-RID16-03-CTDBPF000,recovered_inst,Available,,NaN
GS01SUMO_R00001_ingest.csv,GS01SUMO,001,Ingest.velpt-ab-dcl_recovered,/omc_data/whoi/OMC/GS01SUMO/R00001/cg_data/dcl16/VELPT*/*.velpt*.log,155,0,8,147,GS01SUMO-RID16-04-VELPTA000,recovered_host,Available,,NaN
GS01SUMO_R00001_ingest.csv,GS01SUMO,001,#Ingest.velpt-ab_recovered,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,GS01SUMO-RID16-04-VELPTA000,recovered_inst,,Data not expected,NaN
GS01SUMO_R00001_ingest.csv,GS01SUMO,001,Ingest.pco2w-abc-dcl_recovered,/omc_data/whoi/OMC/GS01SUMO/R00001/cg_data/dcl16/PCO2W_snC0070/*.pco2w.log,155,0,11,144,GS01SUMO-RID16-05-PCO2WB000,recovered_host,Available,,NaN
GS01SUMO_R00001_ingest.csv,GS01SUMO,001,#Ingest.pco2w-abc_recovered,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,GS01SUMO-RID16-05-PCO2WB000,recovered_inst,,Data not available,NaN
GS01SUMO_R00001_ingest.csv,GS01SUMO,001,Ingest.dosta-abcdjm-dcl_recovered,/omc_data/whoi/OMC/GS01SUMO/R00001/cg_data/dcl16/DOSTA_sn382/*dosta2.log,155,0,1,154,GS01SUMO-RID16-06-DOSTAD000,recovered_host,Available,,NaN
GS01SUMO_R00001_ingest.csv,GS01SUMO,001,Ingest.nutnr-b-dcl-full_recovered,/omc_data/whoi/OMC/GS01SUMO/R00001/cg_data/dcl16/NUTNR*/*.nutnr2.log,155,0,4,151,GS01SUMO-RID16-07-NUTNRB000,recovered_host,Available,,NaN
