ingest_csv_filename,platform,deployment#,uframe_route,filename_mask,number_files,file of today,file <= 1k,file > 1K,reference_designator,data_source,Automated_status,status,notes
GI05MOAS-PG577_D00001_ingest.csv,GI05MOAS,001,#Ingest.glider-eng-glider_telemetered,/omc_data/whoi/OMC/GI05MOAS-PG577/D00001/merged-from-glider/gi_*.mrg,0,0,0,0,GI05MOAS-PG577-00-ENG000000,telemetered,Missing,Glider leaked. No data expected,NaN
GI05MOAS-PG577_D00001_ingest.csv,GI05MOAS,001,#Ingest.ctdgv-m-glider_telemetered,/omc_data/whoi/OMC/GI05MOAS-PG577/D00001/merged-from-glider/gi_*.mrg,0,0,0,0,GI05MOAS-PG577-01-CTDGVM000,telemetered,Missing,Glider leaked. No data expected,NaN
GI05MOAS-PG577_D00001_ingest.csv,GI05MOAS,001,#Ingest.dosta-abcdjm-glider_telemetered,/omc_data/whoi/OMC/GI05MOAS-PG577/D00001/merged-from-glider/gi_*.mrg,0,0,0,0,GI05MOAS-PG577-02-DOSTAM000,telemetered,Missing,Glider leaked. No data expected,NaN
GI05MOAS-PG577_D00001_ingest.csv,GI05MOAS,001,#Ingest.flort-m-glider_telemetered,/omc_data/whoi/OMC/GI05MOAS-PG577/D00001/merged-from-glider/gi_*.mrg,0,0,0,0,GI05MOAS-PG577-03-FLORTM000,telemetered,Missing,Glider leaked. No data expected,NaN
GI05MOAS-PG577_D00001_ingest.csv,GI05MOAS,001,#Ingest.flort-o-glider_telemetered,/omc_data/whoi/OMC/GI05MOAS-PG577/D00001/merged-from-glider/gi_*.mrg,0,0,0,0,GI05MOAS-PG577-04-FLORTO000,telemetered,Missing,Glider leaked. No data expected,NaN
GI05MOAS-PG577_D00001_ingest.csv,GI05MOAS,001,#Ingest.nutnr-m-glider_telemetered,/omc_data/whoi/OMC/GI05MOAS-PG577/D00001/merged-from-glider/gi_*.mrg,0,0,0,0,GI05MOAS-PG577-05-NUTNRM000,telemetered,Missing,Glider leaked. No data expected,NaN
GI05MOAS-PG577_D00001_ingest.csv,GI05MOAS,001,#Ingest.parad-m-glider_telemetered,/omc_data/whoi/OMC/GI05MOAS-PG577/D00001/merged-from-glider/gi_*.mrg,0,0,0,0,GI05MOAS-PG577-06-PARADM000,telemetered,Missing,Glider leaked. No data expected,NaN
GI05MOAS-PG577_R00001_ingest.csv,GI05MOAS,001,#Ingest.glider-eng-glider_recovered,/omc_data/whoi/OMC/GI05MOAS-PG577/R00001/merged/gi*.mrg,0,0,0,0,GI05MOAS-PG577-00-ENG000000,recovered_host,Missing,Glider leaked. No data expected,NaN
GI05MOAS-PG577_R00001_ingest.csv,GI05MOAS,001,#Ingest.ctdgv-m-glider_recovered,/omc_data/whoi/OMC/GI05MOAS-PG577/R00001/merged/gi*.mrg,0,0,0,0,GI05MOAS-PG577-01-CTDGVM000,recovered_host,Missing,Glider leaked. No data expected,NaN
GI05MOAS-PG577_R00001_ingest.csv,GI05MOAS,001,#Ingest.dosta-abcdjm-glider_recovered,/omc_data/whoi/OMC/GI05MOAS-PG577/R00001/merged/gi*.mrg,0,0,0,0,GI05MOAS-PG577-02-DOSTAM000,recovered_host,Missing,Glider leaked. No data expected,NaN
GI05MOAS-PG577_R00001_ingest.csv,GI05MOAS,001,#Ingest.flort-m-glider_recovered,/omc_data/whoi/OMC/GI05MOAS-PG577/R00001/merged/gi*.mrg,0,0,0,0,GI05MOAS-PG577-03-FLORTM000,recovered_host,Missing,Glider leaked. No data expected,NaN
GI05MOAS-PG577_R00001_ingest.csv,GI05MOAS,001,#Ingest.flort-o-glider_recovered,/omc_data/whoi/OMC/GI05MOAS-PG577/R00001/merged/gi*.mrg,0,0,0,0,GI05MOAS-PG577-04-FLORTO000,recovered_host,Missing,Glider leaked. No data expected,NaN
GI05MOAS-PG577_R00001_ingest.csv,GI05MOAS,001,#Ingest.nutnr-m-glider_telemetered,/omc_data/whoi/OMC/GI05MOAS-PG577/R00001/merged/gi*.mrg,0,0,0,0,GI05MOAS-PG577-05-NUTNRM000,recovered_host,Missing,Glider leaked. No data expected,NaN
GI05MOAS-PG577_R00001_ingest.csv,GI05MOAS,001,#Ingest.parad-m-glider_recovered,/omc_data/whoi/OMC/GI05MOAS-PG577/R00001/merged/gi*.mrg,0,0,0,0,GI05MOAS-PG577-06-PARADM000,recovered_host,Missing,Glider leaked. No data expected,NaN
