ingest_csv_filename,platform,deployment#,uframe_route,filename_mask,number_files,file of today,file <= 1k,file > 1K,reference_designator,data_source,Automated_status,status,notes
GP03FLMB_D00004_ingest.csv,GP03FLMB,004,Ingest.flort-dj-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00004/*flort_*.dat,5,0,5,0,GP03FLMB-RIS01-05-FLORTD000,telemetered,Available,,NaN
GP03FLMB_D00004_ingest.csv,GP03FLMB,004,#Ingest.phsen-abcdef-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00004/*phsen_*.dat,0,0,0,0,GP03FLMB-RIS01-04-PHSENF000,telemetered,Missing,Data not expected,NaN
GP03FLMB_D00004_ingest.csv,GP03FLMB,004,Ingest.sio-eng-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00004/*status_1328601.dat,7,0,7,0,GP03FLMB-RIS01-00-SIOENG000,telemetered,Available,,NaN
GP03FLMB_D00004_ingest.csv,GP03FLMB,004,Ingest.sio-eng-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00004/*status_1328501.dat,11,0,11,0,GP03FLMB-RIM01-00-SIOENG000,telemetered,Available,,NaN
GP03FLMB_D00005_ingest.csv,GP03FLMB,005,#Ingest.adcps-jln-sio_telemetered,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,GP03FLMB-RIM01-02-ADCPSL007,telemetered,,No telemetered data expected (no gliders deployed),NaN
GP03FLMB_D00005_ingest.csv,GP03FLMB,005,#Ingest.ctdmo-ghqr-sio_telemetered,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,GP03FLMB-RIM01-02-CTDMOG000,telemetered,,No telemetered data expected (no gliders deployed),NaN
GP03FLMB_D00005_ingest.csv,GP03FLMB,005,#Ingest.dosta-abcdjm-sio_telemetered,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,GP03FLMB-RIS01-03-DOSTAD000,telemetered,,No telemetered data expected (no gliders deployed),NaN
GP03FLMB_D00005_ingest.csv,GP03FLMB,005,#Ingest.flort-dj-sio_telemetered,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,GP03FLMB-RIS01-05-FLORTD000,telemetered,,No telemetered data expected (no gliders deployed),NaN
GP03FLMB_D00005_ingest.csv,GP03FLMB,005,#Ingest.phsen-abcdef-sio_telemetered,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,GP03FLMB-RIS01-04-PHSENF000,telemetered,,No telemetered data expected (no gliders deployed),NaN
GP03FLMB_D00005_ingest.csv,GP03FLMB,005,#Ingest.sio-eng-sio_telemetered,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,GP03FLMB-RIS01-00-SIOENG000,telemetered,,No telemetered data expected (no gliders deployed),NaN
